ArrayType,SortType,Size,Time
Random,Standard Merge Sort,500,238
Random,Standard Merge Sort,600,285
Random,Standard Merge Sort,700,336
Random,Standard Merge Sort,800,404
Random,Standard Merge Sort,900,463
Random,Standard Merge Sort,1000,497
Random,Standard Merge Sort,1100,542
Random,Standard Merge Sort,1200,586
Random,Standard Merge Sort,1300,648
Random,Standard Merge Sort,1400,720
Random,Standard Merge Sort,1500,824
Random,Standard Merge Sort,1600,823
Random,Standard Merge Sort,1700,873
Random,Standard Merge Sort,1800,983
Random,Standard Merge Sort,1900,966
Random,Standard Merge Sort,2000,1507
Random,Standard Merge Sort,2100,1363
Random,Standard Merge Sort,2200,1145
Random,Standard Merge Sort,2300,1301
Random,Standard Merge Sort,2400,1497
Random,Standard Merge Sort,2500,1430
Random,Standard Merge Sort,2600,1403
Random,Standard Merge Sort,2700,1443
Random,Standard Merge Sort,2800,1544
Random,Standard Merge Sort,2900,1539
Random,Standard Merge Sort,3000,1653
Random,Standard Merge Sort,3100,1644
Random,Standard Merge Sort,3200,1678
Random,Standard Merge Sort,3300,1753
Random,Standard Merge Sort,3400,1800
Random,Standard Merge Sort,3500,1881
Random,Standard Merge Sort,3600,1864
Random,Standard Merge Sort,3700,2124
Random,Standard Merge Sort,3800,2106
Random,Standard Merge Sort,3900,2042
Random,Standard Merge Sort,4000,2112
Random,Standard Merge Sort,4100,2334
Random,Standard Merge Sort,4200,2233
Random,Standard Merge Sort,4300,2179
Random,Standard Merge Sort,4400,2190
Random,Standard Merge Sort,4500,2307
Random,Standard Merge Sort,4600,2338
Random,Standard Merge Sort,4700,2342
Random,Standard Merge Sort,4800,2394
Random,Standard Merge Sort,4900,2489
Random,Standard Merge Sort,5000,2567
Random,Standard Merge Sort,5100,2545
Random,Standard Merge Sort,5200,2701
Random,Standard Merge Sort,5300,3137
Random,Standard Merge Sort,5400,2827
Random,Standard Merge Sort,5500,2972
Random,Standard Merge Sort,5600,3166
Random,Standard Merge Sort,5700,2981
Random,Standard Merge Sort,5800,2973
Random,Standard Merge Sort,5900,2987
Random,Standard Merge Sort,6000,3077
Random,Standard Merge Sort,6100,3117
Random,Standard Merge Sort,6200,3177
Random,Standard Merge Sort,6300,3381
Random,Standard Merge Sort,6400,3370
Random,Standard Merge Sort,6500,3385
Random,Standard Merge Sort,6600,3400
Random,Standard Merge Sort,6700,3492
Random,Standard Merge Sort,6800,3506
Random,Standard Merge Sort,6900,3584
Random,Standard Merge Sort,7000,4215
Random,Standard Merge Sort,7100,4284
Random,Standard Merge Sort,7200,3843
Random,Standard Merge Sort,7300,4086
Random,Standard Merge Sort,7400,4015
Random,Standard Merge Sort,7500,3913
Random,Standard Merge Sort,7600,3904
Random,Standard Merge Sort,7700,3969
Random,Standard Merge Sort,7800,4028
Random,Standard Merge Sort,7900,4079
Random,Standard Merge Sort,8000,4223
Random,Standard Merge Sort,8100,4210
Random,Standard Merge Sort,8200,4296
Random,Standard Merge Sort,8300,4367
Random,Standard Merge Sort,8400,4407
Random,Standard Merge Sort,8500,4389
Random,Standard Merge Sort,8600,4466
Random,Standard Merge Sort,8700,4509
Random,Standard Merge Sort,8800,4591
Random,Standard Merge Sort,8900,4628
Random,Standard Merge Sort,9000,4697
Random,Standard Merge Sort,9100,4724
Random,Standard Merge Sort,9200,4967
Random,Standard Merge Sort,9300,4975
Random,Standard Merge Sort,9400,4982
Random,Standard Merge Sort,9500,5041
Random,Standard Merge Sort,9600,5177
Random,Standard Merge Sort,9700,5296
Random,Standard Merge Sort,9800,5170
Random,Standard Merge Sort,9900,5306
Random,Hybrid Merge Sort,500,235
Random,Hybrid Merge Sort,600,341
Random,Hybrid Merge Sort,700,503
Random,Hybrid Merge Sort,800,313
Random,Hybrid Merge Sort,900,396
Random,Hybrid Merge Sort,1000,484
Random,Hybrid Merge Sort,1100,584
Random,Hybrid Merge Sort,1200,694
Random,Hybrid Merge Sort,1300,868
Random,Hybrid Merge Sort,1400,934
Random,Hybrid Merge Sort,1500,1077
Random,Hybrid Merge Sort,1600,677
Random,Hybrid Merge Sort,1700,770
Random,Hybrid Merge Sort,1800,853
Random,Hybrid Merge Sort,1900,930
Random,Hybrid Merge Sort,2000,995
Random,Hybrid Merge Sort,2100,1173
Random,Hybrid Merge Sort,2200,1216
Random,Hybrid Merge Sort,2300,1321
Random,Hybrid Merge Sort,2400,1530
Random,Hybrid Merge Sort,2500,1586
Random,Hybrid Merge Sort,2600,1654
Random,Hybrid Merge Sort,2700,1891
Random,Hybrid Merge Sort,2800,1937
Random,Hybrid Merge Sort,2900,2097
Random,Hybrid Merge Sort,3000,2241
Random,Hybrid Merge Sort,3100,1394
Random,Hybrid Merge Sort,3200,1432
Random,Hybrid Merge Sort,3300,1533
Random,Hybrid Merge Sort,3400,1561
Random,Hybrid Merge Sort,3500,1685
Random,Hybrid Merge Sort,3600,1837
Random,Hybrid Merge Sort,3700,1823
Random,Hybrid Merge Sort,3800,1961
Random,Hybrid Merge Sort,3900,2008
Random,Hybrid Merge Sort,4000,2198
Random,Hybrid Merge Sort,4100,2199
Random,Hybrid Merge Sort,4200,2375
Random,Hybrid Merge Sort,4300,2518
Random,Hybrid Merge Sort,4400,2504
Random,Hybrid Merge Sort,4500,2729
Random,Hybrid Merge Sort,4600,2805
Random,Hybrid Merge Sort,4700,2985
Random,Hybrid Merge Sort,4800,3102
Random,Hybrid Merge Sort,4900,3247
Random,Hybrid Merge Sort,5000,3251
Random,Hybrid Merge Sort,5100,3346
Random,Hybrid Merge Sort,5200,3494
Random,Hybrid Merge Sort,5300,3626
Random,Hybrid Merge Sort,5400,3772
Random,Hybrid Merge Sort,5500,3930
Random,Hybrid Merge Sort,5600,4001
Random,Hybrid Merge Sort,5700,4140
Random,Hybrid Merge Sort,5800,4251
Random,Hybrid Merge Sort,5900,4447
Random,Hybrid Merge Sort,6000,4601
Random,Hybrid Merge Sort,6100,2778
Random,Hybrid Merge Sort,6200,2889
Random,Hybrid Merge Sort,6300,2969
Random,Hybrid Merge Sort,6400,2971
Random,Hybrid Merge Sort,6500,3019
Random,Hybrid Merge Sort,6600,3159
Random,Hybrid Merge Sort,6700,3229
Random,Hybrid Merge Sort,6800,3296
Random,Hybrid Merge Sort,6900,3408
Random,Hybrid Merge Sort,7000,3533
Random,Hybrid Merge Sort,7100,3635
Random,Hybrid Merge Sort,7200,3712
Random,Hybrid Merge Sort,7300,4182
Random,Hybrid Merge Sort,7400,3853
Random,Hybrid Merge Sort,7500,3975
Random,Hybrid Merge Sort,7600,4184
Random,Hybrid Merge Sort,7700,4271
Random,Hybrid Merge Sort,7800,4219
Random,Hybrid Merge Sort,7900,4437
Random,Hybrid Merge Sort,8000,4527
Random,Hybrid Merge Sort,8100,4584
Random,Hybrid Merge Sort,8200,4761
Random,Hybrid Merge Sort,8300,4737
Random,Hybrid Merge Sort,8400,5152
Random,Hybrid Merge Sort,8500,4970
Random,Hybrid Merge Sort,8600,5099
Random,Hybrid Merge Sort,8700,5239
Random,Hybrid Merge Sort,8800,5314
Random,Hybrid Merge Sort,8900,5442
Random,Hybrid Merge Sort,9000,5829
Random,Hybrid Merge Sort,9100,5860
Random,Hybrid Merge Sort,9200,5947
Random,Hybrid Merge Sort,9300,6083
Random,Hybrid Merge Sort,9400,6333
Random,Hybrid Merge Sort,9500,6270
Random,Hybrid Merge Sort,9600,6111
Random,Hybrid Merge Sort,9700,6206
Random,Hybrid Merge Sort,9800,6338
Random,Hybrid Merge Sort,9900,6537
Reverse,Standard Merge Sort,500,199
Reverse,Standard Merge Sort,600,233
Reverse,Standard Merge Sort,700,276
Reverse,Standard Merge Sort,800,317
Reverse,Standard Merge Sort,900,360
Reverse,Standard Merge Sort,1000,400
Reverse,Standard Merge Sort,1100,441
Reverse,Standard Merge Sort,1200,482
Reverse,Standard Merge Sort,1300,530
Reverse,Standard Merge Sort,1400,572
Reverse,Standard Merge Sort,1500,615
Reverse,Standard Merge Sort,1600,660
Reverse,Standard Merge Sort,1700,700
Reverse,Standard Merge Sort,1800,751
Reverse,Standard Merge Sort,1900,806
Reverse,Standard Merge Sort,2000,833
Reverse,Standard Merge Sort,2100,874
Reverse,Standard Merge Sort,2200,920
Reverse,Standard Merge Sort,2300,965
Reverse,Standard Merge Sort,2400,1007
Reverse,Standard Merge Sort,2500,1050
Reverse,Standard Merge Sort,2600,1107
Reverse,Standard Merge Sort,2700,1151
Reverse,Standard Merge Sort,2800,1194
Reverse,Standard Merge Sort,2900,1236
Reverse,Standard Merge Sort,3000,1282
Reverse,Standard Merge Sort,3100,1326
Reverse,Standard Merge Sort,3200,1368
Reverse,Standard Merge Sort,3300,1416
Reverse,Standard Merge Sort,3400,1457
Reverse,Standard Merge Sort,3500,1499
Reverse,Standard Merge Sort,3600,1553
Reverse,Standard Merge Sort,3700,1592
Reverse,Standard Merge Sort,3800,1642
Reverse,Standard Merge Sort,3900,1686
Reverse,Standard Merge Sort,4000,1730
Reverse,Standard Merge Sort,4100,1796
Reverse,Standard Merge Sort,4200,1822
Reverse,Standard Merge Sort,4300,1871
Reverse,Standard Merge Sort,4400,1915
Reverse,Standard Merge Sort,4500,1957
Reverse,Standard Merge Sort,4600,2000
Reverse,Standard Merge Sort,4700,2048
Reverse,Standard Merge Sort,4800,2094
Reverse,Standard Merge Sort,4900,2157
Reverse,Standard Merge Sort,5000,2194
Reverse,Standard Merge Sort,5100,2257
Reverse,Standard Merge Sort,5200,2256
Reverse,Standard Merge Sort,5300,2278
Reverse,Standard Merge Sort,5400,2322
Reverse,Standard Merge Sort,5500,2367
Reverse,Standard Merge Sort,5600,2421
Reverse,Standard Merge Sort,5700,2495
Reverse,Standard Merge Sort,5800,2519
Reverse,Standard Merge Sort,5900,2563
Reverse,Standard Merge Sort,6000,2616
Reverse,Standard Merge Sort,6100,2777
Reverse,Standard Merge Sort,6200,2698
Reverse,Standard Merge Sort,6300,2896
Reverse,Standard Merge Sort,6400,2849
Reverse,Standard Merge Sort,6500,2898
Reverse,Standard Merge Sort,6600,2920
Reverse,Standard Merge Sort,6700,3016
Reverse,Standard Merge Sort,6800,3100
Reverse,Standard Merge Sort,6900,3066
Reverse,Standard Merge Sort,7000,3124
Reverse,Standard Merge Sort,7100,3204
Reverse,Standard Merge Sort,7200,3264
Reverse,Standard Merge Sort,7300,3294
Reverse,Standard Merge Sort,7400,3296
Reverse,Standard Merge Sort,7500,3362
Reverse,Standard Merge Sort,7600,3366
Reverse,Standard Merge Sort,7700,3463
Reverse,Standard Merge Sort,7800,3534
Reverse,Standard Merge Sort,7900,3673
Reverse,Standard Merge Sort,8000,3654
Reverse,Standard Merge Sort,8100,3594
Reverse,Standard Merge Sort,8200,3700
Reverse,Standard Merge Sort,8300,3733
Reverse,Standard Merge Sort,8400,3859
Reverse,Standard Merge Sort,8500,3801
Reverse,Standard Merge Sort,8600,3962
Reverse,Standard Merge Sort,8700,3953
Reverse,Standard Merge Sort,8800,4038
Reverse,Standard Merge Sort,8900,4042
Reverse,Standard Merge Sort,9000,4106
Reverse,Standard Merge Sort,9100,4041
Reverse,Standard Merge Sort,9200,4122
Reverse,Standard Merge Sort,9300,4121
Reverse,Standard Merge Sort,9400,4183
Reverse,Standard Merge Sort,9500,4236
Reverse,Standard Merge Sort,9600,4292
Reverse,Standard Merge Sort,9700,4408
Reverse,Standard Merge Sort,9800,4458
Reverse,Standard Merge Sort,9900,4503
Reverse,Hybrid Merge Sort,500,458
Reverse,Hybrid Merge Sort,600,657
Reverse,Hybrid Merge Sort,700,896
Reverse,Hybrid Merge Sort,800,598
Reverse,Hybrid Merge Sort,900,752
Reverse,Hybrid Merge Sort,1000,926
Reverse,Hybrid Merge Sort,1100,1118
Reverse,Hybrid Merge Sort,1200,1327
Reverse,Hybrid Merge Sort,1300,1556
Reverse,Hybrid Merge Sort,1400,1801
Reverse,Hybrid Merge Sort,1500,2064
Reverse,Hybrid Merge Sort,1600,1220
Reverse,Hybrid Merge Sort,1700,1393
Reverse,Hybrid Merge Sort,1800,1535
Reverse,Hybrid Merge Sort,1900,1705
Reverse,Hybrid Merge Sort,2000,1892
Reverse,Hybrid Merge Sort,2100,2074
Reverse,Hybrid Merge Sort,2200,2272
Reverse,Hybrid Merge Sort,2300,2478
Reverse,Hybrid Merge Sort,2400,2695
Reverse,Hybrid Merge Sort,2500,2918
Reverse,Hybrid Merge Sort,2600,3168
Reverse,Hybrid Merge Sort,2700,3395
Reverse,Hybrid Merge Sort,2800,3647
Reverse,Hybrid Merge Sort,2900,3909
Reverse,Hybrid Merge Sort,3000,4177
Reverse,Hybrid Merge Sort,3100,2346
Reverse,Hybrid Merge Sort,3200,2494
Reverse,Hybrid Merge Sort,3300,2646
Reverse,Hybrid Merge Sort,3400,2802
Reverse,Hybrid Merge Sort,3500,3066
Reverse,Hybrid Merge Sort,3600,3085
Reverse,Hybrid Merge Sort,3700,3286
Reverse,Hybrid Merge Sort,3800,3493
Reverse,Hybrid Merge Sort,3900,3649
Reverse,Hybrid Merge Sort,4000,3831
Reverse,Hybrid Merge Sort,4100,4074
Reverse,Hybrid Merge Sort,4200,4198
Reverse,Hybrid Merge Sort,4300,4500
Reverse,Hybrid Merge Sort,4400,4597
Reverse,Hybrid Merge Sort,4500,4933
Reverse,Hybrid Merge Sort,4600,5145
Reverse,Hybrid Merge Sort,4700,5286
Reverse,Hybrid Merge Sort,4800,5515
Reverse,Hybrid Merge Sort,4900,5726
Reverse,Hybrid Merge Sort,5000,5902
Reverse,Hybrid Merge Sort,5100,6201
Reverse,Hybrid Merge Sort,5200,6373
Reverse,Hybrid Merge Sort,5300,6665
Reverse,Hybrid Merge Sort,5400,7053
Reverse,Hybrid Merge Sort,5500,7147
