ArrayType,SortType,Size,Time
Random,Standard Merge Sort,500,241
Random,Standard Merge Sort,600,279
Random,Standard Merge Sort,700,330
Random,Standard Merge Sort,800,389
Random,Standard Merge Sort,900,441
Random,Standard Merge Sort,1000,495
Random,Standard Merge Sort,1100,541
Random,Standard Merge Sort,1200,594
Random,Standard Merge Sort,1300,645
Random,Standard Merge Sort,1400,705
Random,Standard Merge Sort,1500,760
Random,Standard Merge Sort,1600,813
Random,Standard Merge Sort,1700,861
Random,Standard Merge Sort,1800,925
Random,Standard Merge Sort,1900,993
Random,Standard Merge Sort,2000,1037
Random,Standard Merge Sort,2100,1084
Random,Standard Merge Sort,2200,1125
Random,Standard Merge Sort,2300,1188
Random,Standard Merge Sort,2400,1252
Random,Standard Merge Sort,2500,1554
Random,Standard Merge Sort,2600,1627
Random,Standard Merge Sort,2700,1574
Random,Standard Merge Sort,2800,1705
Random,Standard Merge Sort,2900,1699
Random,Standard Merge Sort,3000,1765
Random,Standard Merge Sort,3100,1735
Random,Standard Merge Sort,3200,1898
Random,Standard Merge Sort,3300,1752
Random,Standard Merge Sort,3400,1831
Random,Standard Merge Sort,3500,1965
Random,Standard Merge Sort,3600,1935
Random,Standard Merge Sort,3700,2016
Random,Standard Merge Sort,3800,2031
Random,Standard Merge Sort,3900,2066
Random,Standard Merge Sort,4000,2216
Random,Standard Merge Sort,4100,2758
Random,Standard Merge Sort,4200,2170
Random,Standard Merge Sort,4300,2372
Random,Standard Merge Sort,4400,2330
Random,Standard Merge Sort,4500,2450
Random,Standard Merge Sort,4600,2371
Random,Standard Merge Sort,4700,2708
Random,Standard Merge Sort,4800,2514
Random,Standard Merge Sort,4900,2567
Random,Standard Merge Sort,5000,2591
Random,Standard Merge Sort,5100,2626
Random,Standard Merge Sort,5200,2662
Random,Standard Merge Sort,5300,2775
Random,Standard Merge Sort,5400,3224
Random,Standard Merge Sort,5500,3103
Random,Standard Merge Sort,5600,3020
Random,Standard Merge Sort,5700,3192
Random,Standard Merge Sort,5800,3136
Random,Standard Merge Sort,5900,3144
Random,Standard Merge Sort,6000,3103
Random,Standard Merge Sort,6100,3095
Random,Standard Merge Sort,6200,3147
Random,Standard Merge Sort,6300,3242
Random,Standard Merge Sort,6400,3321
Random,Standard Merge Sort,6500,3353
Random,Standard Merge Sort,6600,3367
Random,Standard Merge Sort,6700,3431
Random,Standard Merge Sort,6800,3523
Random,Standard Merge Sort,6900,3555
Random,Standard Merge Sort,7000,3613
Random,Standard Merge Sort,7100,3631
Random,Standard Merge Sort,7200,3724
Random,Standard Merge Sort,7300,3849
Random,Standard Merge Sort,7400,3882
Random,Standard Merge Sort,7500,3856
Random,Standard Merge Sort,7600,3904
Random,Standard Merge Sort,7700,4035
Random,Standard Merge Sort,7800,4097
Random,Standard Merge Sort,7900,4074
Random,Standard Merge Sort,8000,4128
Random,Standard Merge Sort,8100,4213
Random,Standard Merge Sort,8200,4227
Random,Standard Merge Sort,8300,4279
Random,Standard Merge Sort,8400,4333
Random,Standard Merge Sort,8500,4467
Random,Standard Merge Sort,8600,4497
Random,Standard Merge Sort,8700,4522
Random,Standard Merge Sort,8800,4578
Random,Standard Merge Sort,8900,4704
Random,Standard Merge Sort,9000,4701
Random,Standard Merge Sort,9100,4743
Random,Standard Merge Sort,9200,4776
Random,Standard Merge Sort,9300,4940
Random,Standard Merge Sort,9400,4974
Random,Standard Merge Sort,9500,4998
Random,Standard Merge Sort,9600,5151
Random,Standard Merge Sort,9700,5209
Random,Standard Merge Sort,9800,5216
Random,Standard Merge Sort,9900,5247
Random,Hybrid Merge Sort,500,74
Random,Hybrid Merge Sort,600,89
Random,Hybrid Merge Sort,700,107
Random,Hybrid Merge Sort,800,127
Random,Hybrid Merge Sort,900,153
Random,Hybrid Merge Sort,1000,174
Random,Hybrid Merge Sort,1100,267
Random,Hybrid Merge Sort,1200,209
Random,Hybrid Merge Sort,1300,227
Random,Hybrid Merge Sort,1400,252
Random,Hybrid Merge Sort,1500,268
Random,Hybrid Merge Sort,1600,288
Random,Hybrid Merge Sort,1700,326
Random,Hybrid Merge Sort,1800,335
Random,Hybrid Merge Sort,1900,356
Random,Hybrid Merge Sort,2000,382
Random,Hybrid Merge Sort,2100,407
Random,Hybrid Merge Sort,2200,427
Random,Hybrid Merge Sort,2300,450
Random,Hybrid Merge Sort,2400,512
Random,Hybrid Merge Sort,2500,498
Random,Hybrid Merge Sort,2600,513
Random,Hybrid Merge Sort,2700,527
Random,Hybrid Merge Sort,2800,548
Random,Hybrid Merge Sort,2900,573
Random,Hybrid Merge Sort,3000,607
Random,Hybrid Merge Sort,3100,657
Random,Hybrid Merge Sort,3200,644
Random,Hybrid Merge Sort,3300,683
Random,Hybrid Merge Sort,3400,717
Random,Hybrid Merge Sort,3500,734
Random,Hybrid Merge Sort,3600,814
Random,Hybrid Merge Sort,3700,841
Random,Hybrid Merge Sort,3800,823
Random,Hybrid Merge Sort,3900,848
Random,Hybrid Merge Sort,4000,870
Random,Hybrid Merge Sort,4100,1039
Random,Hybrid Merge Sort,4200,931
Random,Hybrid Merge Sort,4300,954
Random,Hybrid Merge Sort,4400,971
Random,Hybrid Merge Sort,4500,1045
Random,Hybrid Merge Sort,4600,1003
Random,Hybrid Merge Sort,4700,1008
Random,Hybrid Merge Sort,4800,1042
Random,Hybrid Merge Sort,4900,1134
Random,Hybrid Merge Sort,5000,1088
Random,Hybrid Merge Sort,5100,1105
